Articulo,Termino,weight
13_POFF etal_2010,forest,142
35_Fotakis_2015,forest,57
49_Nahorna etal_2025,forest,79
55_Pierda-Jimenez etal_20,forest,213
42_Khadka y Vack_2012,forest,157
52_Neto etal_2020,forest,93
5_Bettinger y Tang_2015,forest,73
46_Marques etal_2021_B,forest,154
39_Huang y Shao_2025,forest,168
41_kanzian etal_2013,forest,85
24_Cambero y Sowlati_2016,supply chain,73
20_Baghizadeh etal_2021,supply chain,117
11_Gutierrez-Franco etal_,supply chain,101
26_Chen etal_2019,supply chain,32
6_Cambero y Sowlati_2014,supply chain,53
41_kanzian etal_2013,supply chain,8
16_Serrano etal_2021,value,30
17_Triviño etal_2015,value,25
36_Gonzalez-Gonzalez etal,value,19
53_Pascual_2021,value,28
47_Mazziotta etal_2025,value,31
30_Diao y Geng_2023,value,29
43_Langner etal_2017,value,33
19_Xiao etal_2022,value,51
23_Bushaj etal_2021,value,80
2_Alvarez etal_2018,value,35
49_Nahorna etal_2025,value,56
52_Neto etal_2020,value,49
5_Bettinger y Tang_2015,value,35
45_Marques etal_2021,integer programming,12
52_Neto etal_2020,integer programming,9
16_Serrano etal_2021,community,20
42_Khadka y Vack_2012,community,59
24_Cambero y Sowlati_2016,bioenergy,57
6_Cambero y Sowlati_2014,bioenergy,73
24_Cambero y Sowlati_2016,case study,21
36_Gonzalez-Gonzalez etal,case study,6
11_Gutierrez-Franco etal_,case study,16
43_Langner etal_2017,case study,41
45_Marques etal_2021,case study,12
33_Ezquerro etal_2019,case study,17
7_Castro etal_2024,case study,8
42_Khadka y Vack_2012,case study,14
5_Bettinger y Tang_2015,case study,16
41_kanzian etal_2013,case study,6
34_Fotakis etal_2012,objective optimizati,15
3_Amiri_y_Mohammadi_2024,objective optimizati,20
24_Cambero y Sowlati_2016,objective optimizati,15
36_Gonzalez-Gonzalez etal,objective optimizati,7
32_Dujardin y Chades_2018,objective optimizati,23
14_Qiu etal_2023,objective optimizati,11
10_Eyvindson etal_2024,objective optimizati,33
12_Nabhani etal_2024,objective optimizati,11
28_Cheng etal_2024,objective optimizati,17
35_Fotakis_2015,objective optimizati,4
53_Pascual_2021,spatial optimization,8
43_Langner etal_2017,ecosystem service,13
19_Xiao etal_2022,ecosystem service,20
9_Eyvindson etal_2018,page composition dif,30
26_Chen etal_2019,page composition dif,52
Ejemplo_bibliografico_Ça,plan,18
42_Khadka y Vack_2012,plan,26
34_Fotakis etal_2012,genetic,30
7_Castro etal_2024,genetic,52
34_Fotakis etal_2012,optimization problem,7
32_Dujardin y Chades_2018,optimization problem,12
1_Abate etal_2024,optimization problem,12
9_Eyvindson etal_2018,official version,30
26_Chen etal_2019,official version,52
34_Fotakis etal_2012,harvest scheduling,9
36_Gonzalez-Gonzalez etal,harvest scheduling,17
40_Jones etal_2024,harvest scheduling,30
Ejemplo_bibliografico_Ça,harvest scheduling,21
35_Fotakis_2015,harvest scheduling,9
52_Neto etal_2020,harvest scheduling,19
47_Mazziotta etal_2025,writing review editi,7
10_Eyvindson etal_2024,writing review editi,11
1_Abate etal_2024,writing review editi,8
49_Nahorna etal_2025,writing review editi,5
37_Guo y He_2025,time,37
20_Baghizadeh etal_2021,time,39
26_Chen etal_2019,time,50
23_Bushaj etal_2021,time,104
55_Pierda-Jimenez etal_20,time,37
28_Cheng etal_2024,objective,64
28_Cheng etal_2024,model,57
28_Cheng etal_2024,forests,49
28_Cheng etal_2024,logging,46
28_Cheng etal_2024,optimization,43
28_Cheng etal_2024,study,36
28_Cheng etal_2024,parameter,33
28_Cheng etal_2024,figure,31
28_Cheng etal_2024,objective functions,19
28_Cheng etal_2024,multi objective opti,15
9_Eyvindson etal_2018,version record,30
26_Chen etal_2019,version record,52
34_Fotakis etal_2012,policy economics,14
Ejemplo_bibliografico_Ça,policy economics,10
2_Alvarez etal_2018,policy economics,13
55_Pierda-Jimenez etal_20,policy economics,22
20_Baghizadeh etal_2021,biomass supply,14
6_Cambero y Sowlati_2014,biomass supply,78
32_Dujardin y Chades_2018,point,88
45_Marques etal_2021,point,32
39_Huang y Shao_2025,point,46
16_Serrano etal_2021,san pedro alto,10
15_Serrano etal_2019,san pedro alto,17
35_Fotakis_2015,optimization algorit,4
30_Diao y Geng_2023,development,41
42_Khadka y Vack_2012,development,27
7_Castro etal_2024,nsga algorithm,16
39_Huang y Shao_2025,nsga algorithm,16
3_Amiri_y_Mohammadi_2024,decision making,26
20_Baghizadeh etal_2021,decision making,15
40_Jones etal_2024,decision making,8
22_Belval y Thomson_2023,decision making,22
32_Dujardin y Chades_2018,decision making,11
30_Diao y Geng_2023,decision making,13
50_Nanos etal_2024,decision making,12
48_Medeiros etal_2020,decision making,14
33_Ezquerro etal_2019,decision making,13
2_Alvarez etal_2018,decision making,7
13_POFF etal_2010,decision making,24
42_Khadka y Vack_2012,decision making,23
46_Marques etal_2021_B,decision making,36
9_Eyvindson etal_2018,manuscript accepted,30
26_Chen etal_2019,manuscript accepted,52
16_Serrano etal_2021,model,28
3_Amiri_y_Mohammadi_2024,model,54
24_Cambero y Sowlati_2016,model,50
37_Guo y He_2025,model,35
20_Baghizadeh etal_2021,model,108
40_Jones etal_2024,model,40
18_Wang etal_2021,model,51
53_Pascual_2021,model,19
11_Gutierrez-Franco etal_,model,47
51_Navarro-Cerrillo etal_,model,34
14_Qiu etal_2023,model,52
26_Chen etal_2019,model,60
43_Langner etal_2017,model,26
23_Bushaj etal_2021,model,57
